id,created_at,text
1581797315601346561,2022-10-17 00:00:43+00:00,"It was great to be back in Broward County today with such an incredible crowd.

These Floridians are fired up to Keep Florida Free next month!

Thanks to all who joined us at Wings Plus in Coral Springs. https://t.co/7LqPtaFZ8I"
1581741374088413184,2022-10-16 20:18:25+00:00,"Governor DeSantis Speaks at Keep Florida Free Pit Stop in Coral Springs, FL

https://t.co/jnR7Tz7ruX"
1581733698700947456,2022-10-16 19:47:55+00:00,"I always enjoy stopping in The Villages to see our grassroots supporters dedicated to securing a free future for Florida.
 
Thanks for joining us in the fight to Keep Florida Free! https://t.co/1yAFRLfHmf"
1581691012875182080,2022-10-16 16:58:18+00:00,"Governor DeSantis at Keep Florida Free Pit Stop in The Villages

https://t.co/ZpFT6BzXOT"
1581419290166984704,2022-10-15 22:58:34+00:00,"I spent the afternoon with some of Florida’s hometown heroes in Hillsborough County.
 
Our frontline workers represent the very best of our state and I was honored to receive their endorsement today.
 
As long as I’m Governor, Florida will always have your back. https://t.co/5rDobdC7bQ"
1581392831687450625,2022-10-15 21:13:26+00:00,"Governor DeSantis at Hometown Heroes Pit Stop in Tampa, Florida

https://t.co/OR21ArzVjh"
1581385674376159232,2022-10-15 20:45:00+00:00,"I had a fun time stopping by the 30th Annual @Biketoberfest in Daytona Beach today.

Huge crowd and great energy — thanks for having me! https://t.co/BgE0j6qBUC"
1579502655726145538,2022-10-10 16:02:33+00:00,"I love you, Casey. https://t.co/HKID5TolyM"
1574400718194507777,2022-09-26 14:09:16+00:00,"Happy Anniversary to my beautiful wife, @CaseyDeSantis! I am so thankful for our marriage every day, you are an amazing wife, mother and friend. Love you so much! https://t.co/uxbOGFGxqe"
1572401475837300736,2022-09-21 01:45:00+00:00,"Florida is ranked #1 for education freedom, and as long as I am Governor, Florida will always be the education state.

It was great to join Forward Action Fund today in Boca Raton to highlight our bold approach to education and commitment to school choice. https://t.co/cTU2Z47SMN"
1572386118091571202,2022-09-21 00:43:58+00:00,"In Florida, we support law enforcement, reject the anti-police movement, and focus on justice for victims — not coddling criminals.

Democrat and former police officer @DavidMKerner stands for the rule of law. Thankful to receive his endorsement today in West Palm Beach! https://t.co/9sE15ZclMd"
1571683899238916099,2022-09-19 02:13:36+00:00,"Wisconsin needs @michelsforgov as Governor and @RonJohnsonWI in the Senate to fight against the failed policies of the Biden Administration.

Support their fight:

https://t.co/YWCBoALu2f 

https://t.co/CgS35zocIX https://t.co/0w4eUlHXJN"
1571615205645324288,2022-09-18 21:40:38+00:00,".@DerekSchmidtKS is a proven leader and will continue to fight for the people of Kansas as Governor.

He will support law enforcement, ensure safe communities, and protect the freedoms of the people of the Kansas.

I’m proud to stand with him.

https://t.co/8X3928vBBv https://t.co/WadKAkQuGe"
1569309982813786120,2022-09-12 13:00:30+00:00,"Florida’s model for freedom has delivered one of the best economies in the nation, a record budget surplus, educational achievement, &amp; strong support for safe communities.

Leadership is not cost free — great to see so many who are up for the challenge at @NatConTalk in Aventura. https://t.co/LaZo4XIrWP"
1567540603902205954,2022-09-07 15:49:38+00:00,".@FlaFarmBureau Federation's FarmPAC is the voice of Florida agriculture &amp; an integral part of our state's economy. I was glad to receive their endorsement in Dover today.

I'm proud of Florida agriculture &amp; appreciate what our farms do for the people of our state and our nation. https://t.co/O0Etk63ael"
1567259470106951684,2022-09-06 21:12:30+00:00,"We’ve delivered for Floridians by keeping the economy open, supporting public safety, honoring our veterans, prioritizing education, safeguarding the environment, and more.

In Florida, we don’t just talk the talk, we walk the walk. https://t.co/hrDg39UL4m"
1567239722652549122,2022-09-06 19:54:02+00:00,"Governor DeSantis Receives Endorsement from Everglades Trust in Jupiter.

https://t.co/3N9N0ebAjb"
1567225160960294917,2022-09-06 18:56:10+00:00,"My commitment as Governor is to leave Florida to God better than we found it. We secured $3.3B for Everglades protection, launched nearly 50 restoration projects, and established a new era of stewardship for our water resources.
 
Thankful to be endorsed by @evtrust. https://t.co/ym2G6jSaE8"
1565889292311969792,2022-09-03 02:27:54+00:00,"President Biden is the American Nero.   

Last night’s speech was a truly despicable spectacle. 

If you dissent from his agenda he considers you a “threat to democracy.” https://t.co/1F4F8XEtxL"
1563192570783469569,2022-08-26 15:52:06+00:00,"By keeping the state open, maintaining a low tax environment, achieving a record budget surplus, standing for law &amp; order, &amp; working to improve our waterways, FL is leading the way.

Our realtors are integral to our communities &amp; have advocated for programs like Hometown Heroes. https://t.co/aAGojcOF6P"
1562894321258741761,2022-08-25 20:06:58+00:00,"When others locked down, FL stood strong for the right to earn a living &amp; to operate. FL’s tourism set new records, our restaurants are doing better than before &amp; hundreds of thousands of jobs have been saved.

I’m proud to receive the @FRLAnews &amp; @FloridaRetail endorsement. https://t.co/KnbnQJn8Oh"
